name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
2-pack armband,H&M,girl,armband,134-170,"39,90 kr.","Polyester 60%, Järn 40%",Rosa/Mönstrad,https://www2.hm.com/sv_se/productpage.0728239001.html,"https://lp2.hm.com/hmgoepprod?set=source[/41/2a/412ad83a70fe0e7489b7aedb198149d2eb61d386.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0728239001,https://storage.googleapis.com/urbankiddo/H%26M/0728239001
2-pack baddräkt,H&M,girl,baddräkt,134-170,"179,00 kr.",Foder: Polyester 100%,Mörkblå/Stjärnor,https://www2.hm.com/sv_se/productpage.0744765002.html,"https://lp2.hm.com/hmgoepprod?set=source[/6a/18/6a1839d3a14fa822283f7689fcb537882ea09213.jpg],origin[dam],category[kids_girl14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744765002,https://storage.googleapis.com/urbankiddo/H%26M/0744765002
Baddräkt med tryck,H&M,girl,baddräkt,134-170,"149,00 kr.",Foder: Polyester 100%,Rosa/Hello summer,https://www2.hm.com/sv_se/productpage.0744764001.html,"https://lp2.hm.com/hmgoepprod?set=source[/45/7b/457bc765886d940c4731d9f0dccc8cd7ecfadbb1.jpg],origin[dam],category[kids_girl14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744764001,https://storage.googleapis.com/urbankiddo/H%26M/0744764001
Baddräkt med tryck,H&M,girl,baddräkt,134-170,"69,90 kr.",Foder: Polyester 100%,Turkos/Mönstrad,https://www2.hm.com/sv_se/productpage.0744764002.html,"https://lp2.hm.com/hmgoepprod?set=source[/73/bc/73bc0796db902d5043d3bccad24d02c91b3f3b8d.jpg],origin[dam],category[kids_girl14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744764002,https://storage.googleapis.com/urbankiddo/H%26M/0744764002
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Mörkgrå,https://www2.hm.com/sv_se/productpage.0705467001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/5a/da5a2375f3b02669f5091f23174d0a8325ee498e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0705467001,https://storage.googleapis.com/urbankiddo/H%26M/0705467001
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljusrosa,https://www2.hm.com/sv_se/productpage.0705467002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/19/9c193fba2c9d5df3d01ed2da1bbedf43f7722c7d.jpg],origin[dam],category[kids_boy8y_topstshirts_longsleeves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467002,https://storage.googleapis.com/urbankiddo/H%26M/0705467002
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Mörkgrå,https://www2.hm.com/sv_se/productpage.0705467001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/5a/da5a2375f3b02669f5091f23174d0a8325ee498e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0705467001,https://storage.googleapis.com/urbankiddo/H%26M/0705467001
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljusrosa,https://www2.hm.com/sv_se/productpage.0705467002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/19/9c193fba2c9d5df3d01ed2da1bbedf43f7722c7d.jpg],origin[dam],category[kids_boy8y_topstshirts_longsleeves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467002,https://storage.googleapis.com/urbankiddo/H%26M/0705467002
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Mörkgrå,https://www2.hm.com/sv_se/productpage.0705467001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/5a/da5a2375f3b02669f5091f23174d0a8325ee498e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0705467001,https://storage.googleapis.com/urbankiddo/H%26M/0705467001
Benvärmare,H&M,girl,benvärmare,134-170,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljusrosa,https://www2.hm.com/sv_se/productpage.0705467002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/19/9c193fba2c9d5df3d01ed2da1bbedf43f7722c7d.jpg],origin[dam],category[kids_boy8y_topstshirts_longsleeves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467002,https://storage.googleapis.com/urbankiddo/H%26M/0705467002
Volangbikini med spets,H&M,girl,bikinitopp,134-170,"149,00 kr.","Polyester 93%, Elastan 7%",Turkos/Mönstrad,https://www2.hm.com/sv_se/productpage.0744761001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5b/50/5b50197bcecc55f5503148d431b4d28cc64f2c24.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744761001,https://storage.googleapis.com/urbankiddo/H%26M/0744761001
2-pack bikini,H&M,girl,bikinitopp,134-170,"179,00 kr.",Foder: Polyamid 100%,Mörkblå/Stjärnor,https://www2.hm.com/sv_se/productpage.0744769001.html,"https://lp2.hm.com/hmgoepprod?set=source[/f3/e5/f3e5ccf8a99ab8b13780222fed6e0bf84d77fc71.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744769001,https://storage.googleapis.com/urbankiddo/H%26M/0744769001
Sportbikini,H&M,girl,bikinitopp,134-170,"89,90 kr.","Polyester 81%, Elastan 19%",Svart/Flerfärgad,https://www2.hm.com/sv_se/productpage.0744766001.html,"https://lp2.hm.com/hmgoepprod?set=source[/b1/36/b136805eb850fca1e7d0f155943d808fa214077b.jpg],origin[dam],category[kids_girl14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744766001,https://storage.googleapis.com/urbankiddo/H%26M/0744766001
Sportbikini,H&M,girl,bikinitopp,134-170,"179,00 kr.",Foder: Polyamid 100%,Turkos/Mönstrad,https://www2.hm.com/sv_se/productpage.0744766002.html,"https://lp2.hm.com/hmgoepprod?set=source[/b3/d6/b3d6f898f450aefb55c4ae56c8c3f7761981c49d.jpg],origin[dam],category[kids_girl14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0744766002,https://storage.googleapis.com/urbankiddo/H%26M/0744766002
